Month,Units_Produced,Factory_Rent,Supervisor_Salary,Direct_Materials,Direct_Labor,Utilities,Maintenance,Quality_Inspection
Jan-2024,4901,12000,18000,41650,29400,9625,5709,4500
Feb-2024,4600,12000,18000,39100,27600,9277,5409,4500
Mar-2024,6100,12000,18000,51850,36600,11100,6021,9000
Apr-2024,7400,12000,18000,62900,44400,12670,7431,9000
May-2024,8300,12000,18000,70550,49800,13834,8214,9000
Jun-2024,9600,12000,18000,81600,57600,15411,9225,9000
Jul-2024,10400,12000,18000,88400,62400,16505,9463,13500
Aug-2024,11200,12000,18000,95200,67200,17621,10295,13500
Sep-2024,9800,12000,18000,83300,58800,15706,9135,9000
Oct-2024,8600,12000,18000,73100,51600,14194,8272,9000
Nov-2024,7300,12000,18000,62050,43800,12669,7708,9000
Dec-2024,6200,12000,18000,52700,37200,11282,6472,9000
Jan-2025,5800,12000,18000,49300,34800,10759,6343,9000
Feb-2025,4700,12000,18000,39950,28200,9291,5720,4500
Mar-2025,6800,12000,18000,57800,40800,11997,6972,9000
Apr-2025,8100,12000,18000,68850,48600,13688,8050,9000
May-2025,9200,12000,18000,78200,55200,14879,8924,9000
Jun-2025,10500,12000,18000,89250,63000,16584,9889,13500
Jul-2025,11800,12000,18000,100300,70800,18079,10580,13500
Aug-2025,12600,12000,18000,107100,75600,19134,11467,13500
Sep-2025,10900,12000,18000,92650,65400,16959,10474,13500
Oct-2025,9400,12000,18000,79900,56400,15229,8710,9000
Nov-2025,8000,12000,18000,68000,48000,13386,8189,9000
Dec-2025,6900,12000,18000,58650,41400,12149,7201,9000
